Title,Author,Publisher,Publish Date,Price,Rating,Review Count,Detail URL
개발자를 위한 필수 수학,토머스 닐드/박해선 역,한빛미디어,2024년 06월,27000,9.7,36,https://www.yes24.com/product/goods/126804246
밑바닥부터 시작하는 딥러닝 2,사이토 고키/개앞맵시 역,한빛미디어,2019년 05월,26100,9.9,45,https://www.yes24.com/product/goods/72173703
네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make,조영빈,디지털북스,2025년 04월,18000,9.8,10,https://www.yes24.com/product/goods/145343581
교실에서 바로 쓰는 챗GPT 교사 활용법,유수근,앤써북,2025년 01월,17820,9.9,22,https://www.yes24.com/product/goods/141310358
7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이,홍순성,한빛미디어,2024년 12월,22500,9.7,19,https://www.yes24.com/product/goods/139799674
생성형 AI를 위한 프롬프트 엔지니어링,"제임스 피닉스, 마이크 테일러/정의형, 정한결 역",한빛미디어,2025년 06월,34200,10.0,8,https://www.yes24.com/product/goods/147735087
벡터 데이터베이스 설계와 구축,송한림,아이리포,2025년 03월,16020,9.7,6,https://www.yes24.com/product/goods/142771026
챗GPT 교사 마스터 플랜,한민철,책바세,2025년 09월,24300,10.0,23,https://www.yes24.com/product/goods/152814420
AI 혁명을 이끈 천재들,이승민,좋은습관연구소,2025년 09월,18900,10.0,2,https://www.yes24.com/product/goods/151270068
파이썬으로 배우는 데이터 과학,"샘 라우, 조셉 곤잘레스, 데보라 놀란/권정민 역",영진닷컴,2025년 12월,32400,10.0,5,https://www.yes24.com/product/goods/167553674
LUVIT♥ 파이썬으로 만드는 초경량 한국어 LLM 챗봇,"김규석, 서예진, 정태양",제이펍,2026년 01월,25200,10.0,1,https://www.yes24.com/product/goods/170374556
쉽게 배우고 바로 쓰는 에듀테크 첫걸음,"조종현, 박미지, 김승길",성안당,2025년 11월,16200,10.0,24,https://www.yes24.com/product/goods/165275154
모방하는 기계들의 시대,김태훈,좋은습관연구소,2026년 01월,18000,0.0,0,https://www.yes24.com/product/goods/172734590
AI 로봇 구조 교과서,유승남,보누스,2026년 01월,20700,0.0,0,https://www.yes24.com/product/goods/172059324
150분이면 충분한 중고등학교 기초 수학,요네다 마사타카/손민규 역,제이펍,2025년 01월,18000,9.6,42,https://www.yes24.com/product/goods/140411525
테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,이경록,리코멘드,2025년 05월,30600,10.0,1,https://www.yes24.com/product/goods/146874665
Must Have 코드팩토리의 플러터 프로그래밍,최지호,골든래빗,2025년 01월,39600,10.0,3,https://www.yes24.com/product/goods/140837116
10일 만에 익히는 파이토치 딥러닝,한기영,인사이트(insight),2025년 12월,24300,10.0,1,https://www.yes24.com/product/goods/169421035
러닝 랭체인,"메이오 오신, 누노 캄포스/강민혁 역",한빛미디어,2025년 05월,25200,9.5,26,https://www.yes24.com/product/goods/146327472
최고의 프롬프트 엔지니어링 강의,김진중,리코멘드,2024년 06월,21600,7.7,18,https://www.yes24.com/product/goods/126690830
소프트웨어 아키텍처 The Basics,"마크 리처즈, 닐 포드/류광, 307번역랩 역",한빛미디어,2025년 11월,38700,9.9,15,https://www.yes24.com/product/goods/167431026
요즘 우아한 AI 개발,우아한형제들,골든래빗,2025년 04월,21600,9.7,13,https://www.yes24.com/product/goods/143753715
"챗GPT, 저는 이렇게 쓰고 있어요",최소영,길벗,2025년 11월,16920,9.9,39,https://www.yes24.com/product/goods/160131631
AI 영화 제작,"민지영, 문수민, 전은재, 앤미디어",길벗,2024년 11월,24300,9.7,83,https://www.yes24.com/product/goods/136304038
모두의 딥러닝,조태호,길벗,2025년 04월,26100,10.0,13,https://www.yes24.com/product/goods/145612410
"어쩌다 AI, 실전으로 뛰어든 3년의 기록",심형섭,프리렉,2025년 12월,19800,10.0,3,https://www.yes24.com/product/goods/170364367
나만의 MCP 서버 만들기 with 커서 AI,서지영,길벗,2025년 07월,21600,9.8,17,https://www.yes24.com/product/goods/150009569
2022 개정과 IB 교육 철학을 적용한 초등 개념기반 탐구수업•서술형평가 설계와 실천,진경오,앤써북,2025년 05월,18900,9.8,12,https://www.yes24.com/product/goods/147034290
밑바닥부터 시작하는 딥러닝 4,사이토 고키/개앞맵시 역,한빛미디어,2024년 01월,27000,9.8,13,https://www.yes24.com/product/goods/124640233
한 번에 완성하는 AI 영상 제작 with 챗GPT+소라+브루,권유라,제이펍,2025년 06월,18000,9.9,22,https://www.yes24.com/product/goods/147101039
AI 프로덕트 기획과 운영,"마릴리 니카/오성근, 오용철 역",한빛미디어,2025년 09월,19800,9.8,8,https://www.yes24.com/product/goods/154918142
Do it! 플러터 앱 개발&출시하기,조준수,이지스퍼블리싱,2025년 07월,32400,10.0,7,https://www.yes24.com/product/goods/147871988
AI를 위한 필수 수학,할라 넬슨/안민재 역,한빛미디어,2024년 08월,40500,9.5,12,https://www.yes24.com/product/goods/130156635
